Tier,Q1 ID,Q1 Domain,Q1 File,Q2 ID,Q2 Domain,Q2 File,Combined %,Question Sim %,Options Sim %,Same Answer?,Q1 Answer,Q2 Answer,Q1 Question Text,Q2 Question Text,Q1 Options (A/B/C/D),Q2 Options (A/B/C/D),Notes,Action (KEEP Q1 / KEEP Q2 / KEEP BOTH / REVIEW),Audited
DUPLICATE,q053,3,domain3.json,q606,3,domain3.json,100.0,100,100,YES,"D, E","D, E",Which of the following are features of Amazon CloudWatch Logs? (Select TWO),Which of the following are features of Amazon CloudWatch Logs? (Select TWO.),A: Summaries by Amazon Simple Notification Service (Amazon SNS). | B: Free Amazon Elasticsearch Service analytics. | C: Provided at no charge. | D: Real-time monitoring. | E: Adjustable retention.,A: Summaries by Amazon Simple Notification Service (Amazon SNS) | B: Free Amazon Elasticsearch Service analytics | C: Provided at no charge | D: Real-time monitoring | E: Adjustable retention,Exact duplicate,,
DUPLICATE,q063,3,domain3.json,q603,3,domain3.json,100.0,100,100,YES,"B, E","B, E",Which AWS services should be used for read/write of constantly changing data? (Select TWO),Which AWS services should be used for read/write of constantly changing data? (Select TWO.),A: Amazon Glacier. | B: Amazon RDS. | C: AWS Snowball. | D: Amazon Redshift. | E: Amazon EFS.,A: Amazon Glacier | B: Amazon RDS | C: AWS Snowball | D: Amazon Redshift | E: Amazon EFS,Exact duplicate,,
DUPLICATE,q079,3,domain3.json,q596,3,domain3.json,100.0,100,100,YES,"B, E","B, E",Which of the following are characteristics of Amazon S3? (Select TWO),Which of the following are characteristics of Amazon S3? (Select TWO.),A: A global file system. | B: An object store. | C: A local file store. | D: A network file system. | E: A durable storage system.,A: A global file system | B: An object store | C: A local file store | D: A network file system | E: A durable storage system,Exact duplicate,,
DUPLICATE,q083,3,domain3.json,q594,4,domain4.json,100.0,100,100,YES,B,B,Which of the following inspects AWS environments to find opportunities that can save money for users and also improve system performance?,Which of the following inspects AWS environments to find opportunities that can save money for users and also improve system performance ?,A: AWS Cost Explorer. | B: AWS Trusted Advisor. | C: Consolidated billing. | D: Detailed billing.,A: AWS Cost Explorer | B: AWS Trusted Advisor | C: Consolidated billing | D: Detailed billing,Cross-domain: D3 vs D4; Exact duplicate,,
DUPLICATE,q104,3,domain3.json,q620,3,domain3.json,100.0,100,100,YES,"C, D","C, D",Which of the following features can be configured through the Amazon Virtual Private Cloud (Amazon VPC) Dashboard? (Select TWO),Which of the following features can be configured through the Amazon Virtual Private Cloud (Amazon VPC) Dashboard? (Select TWO.),A: Amazon CloudFront distributions. | B: Amazon Route 53. | C: Security Groups. | D: Subnets. | E: Elastic Load Balancing.,A: Amazon CloudFront distributions | B: Amazon Route 53 | C: Security Groups | D: Subnets | E: Elastic Load Balancing,Exact duplicate,,
DUPLICATE,q140,3,domain3.json,q615,3,domain3.json,100.0,100,100,YES,C,C,Which AWS service provides a customized view of the health of specific AWS services that power a customer’s workloads running on AWS?,Which AWS service provides a customized view of the health of specific AWS services that power a customer's workloads running on AWS?,A: AWS Service Health Dashboard. | B: AWS X-Ray. | C: AWS Personal Health Dashboard. | D: Amazon CloudWatch.,A: AWS Service Health Dashboard | B: AWS X-Ray | C: AWS Personal Health Dashboard | D: Amazon CloudWatch,Exact duplicate,,
DUPLICATE,q147,3,domain3.json,q629,3,domain3.json,100.0,100,100,YES,A,A,Which AWS service provides alerts when an AWS event may impact a company’s AWS resources?,Which AWS service provides alerts when an AWS event may impact a company's AWS resources?,A: AWS Personal Health Dashboard. | B: AWS Service Health Dashboard. | C: AWS Trusted Advisor. | D: AWS Infrastructure Event Management.,A: AWS Personal Health Dashboard | B: AWS Service Health Dashboard | C: AWS Trusted Advisor | D: AWS Infrastructure Event Management,Exact duplicate,,
DUPLICATE,q149,3,domain3.json,q676,3,domain3.json,100.0,100,100,YES,D,D,Which service’s PRIMARY purpose is software version control?,Which service's PRIMARY purpose is software version control?,A: Amazon CodeStar. | B: AWS Command Line Interface (AWS CLI). | C: Amazon Cognito. | D: AWS CodeCommit.,A: Amazon CodeStar | B: AWS Command Line Interface (AWS CLI) | C: Amazon Cognito | D: AWS CodeCommit,Exact duplicate,,
DUPLICATE,q155,3,domain3.json,q609,3,domain3.json,100.0,100,100,YES,"A, C","A, C",Which of the following are valid ways for a customer to interact with AWS services? (Select TWO),Which of the following are valid ways for a customer to interact with AWS services? (Select TWO.),A: Command line interface. | B: On-premises. | C: Software Development Kits. | D: Software-as-a-service. | E: Hybrid.,A: Command line interface | B: On-premises | C: Software Development Kits | D: Software-as-a-service | E: Hybrid,Exact duplicate,,
DUPLICATE,q184,3,domain3.json,q608,3,domain3.json,100.0,100,100,YES,D,D,A company is looking for a scalable data warehouse solution. Which of the following AWS solutions would meet the company’s needs?,A company is looking for a scalable data warehouse solution. Which of the following AWS solutions would meet the company's needs?,A: Amazon Simple Storage Service (Amazon S3). | B: Amazon DynamoDB. | C: Amazon Kinesis. | D: Amazon Redshift.,A: Amazon Simple Storage Service (Amazon S3) | B: Amazon DynamoDB | C: Amazon Kinesis | D: Amazon Redshift,Exact duplicate,,
DUPLICATE,q569,3,domain3.json,q185,3,domain3.json,100.0,100,100,NO,"C, E","B, D",Which AWS services provide a way to extend an on-premises architecture to the AWS Cloud? (Select TWO),Which AWS services provide a way to extend an on-premises architecture to the AWS Cloud? (Select TWO),A: Amazon EBS. | B: Amazon Connect. | C: AWS Storage Gateway. | D: Amazon CloudFront. | E: AWS Direct Connect.,A: Amazon EBS. | B: AWS Direct Connect. | C: Amazon CloudFront. | D: AWS Storage Gateway. | E: Amazon Connect.,DIFFERENT ANSWERS; Exact duplicate,,
DUPLICATE,q584,3,domain3.json,q597,3,domain3.json,100.0,100,100,YES,"A, B","A, B",Which services can be used across hybrid AWS Cloud architectures? (Select TWO),Which services can be used across hybrid AWS Cloud architectures? (Select TWO.),A: Amazon Route 53. | B: Virtual Private Gateway. | C: Classic Load Balancer. | D: Auto Scaling. | E: Amazon CloudWatch default metrics.,A: Amazon Route 53 | B: Virtual Private Gateway | C: Classic Load Balancer | D: Auto Scaling | E: Amazon CloudWatch default metrics,Exact duplicate,,
DUPLICATE,q613,3,domain3.json,q188,3,domain3.json,100.0,100,100,YES,"B, C","B, C",Which of the following services could be used to deploy an application to servers running on-premises? (Select TWO.),Which of the following services could be used to deploy an application to servers running on-premises? (Select TWO),A: AWS Elastic Beanstalk | B: AWS OpsWorks | C: AWS CodeDeploy | D: AWS Batch | E: AWS X-Ray,A: AWS Elastic Beanstalk. | B: AWS OpsWorks. | C: AWS CodeDeploy. | D: AWS Batch. | E: AWS X-Ray.,Exact duplicate,,
DUPLICATE,q630,3,domain3.json,q562,4,domain4.json,100.0,100,100,YES,"A, D","A, D",Which of the following are categories of AWS Trusted Advisor? (Select TWO.),Which of the following are categories of AWS Trusted Advisor? (Select TWO),A: Fault Tolerance | B: Instance Usage | C: Infrastructure | D: Performance | E: Storage Capacity,A: Fault Tolerance. | B: Instance Usage. | C: Infrastructure. | D: Performance. | E: Storage Capacity.,Cross-domain: D3 vs D4; Exact duplicate,,
DUPLICATE,q588,3,domain3.json,q625,3,domain3.json,100.0,100,100,YES,"A, D","A, D",Which AWS services are defined as global instead of regional? (Select TWO),Which AWS services are defined as global instead of regional? (Select TWO.),A: Amazon Route 53. | B: Amazon EC2. | C: Amazon S3. | D: Amazon CloudFront. | E: Amazon DynamoDB.,A: Amazon Route 53 | B: Amazon EC2 | C: Amazon S3 | D: Amazon CloudFront | E: Amazon DynamoDB,Exact duplicate,,
DUPLICATE,q106,4,domain4.json,q599,4,domain4.json,100.0,100,100,YES,"A, D","A, D",Which of the following are advantages of AWS consolidated billing? (Select TWO),Which of the following are advantages of AWS consolidated billing? (Select TWO.),"A: The ability to receive one bill for multiple accounts. | B: Service limits increasing by default in all accounts. | C: A fixed discount on the monthly bill. | D: Potential volume discounts, as usage in all accounts is combined. | E: The automatic extension of the master account’s AWS support plan to all accounts.","A: The ability to receive one bill for multiple accounts | B: Service limits increasing by default in all accounts | C: A fixed discount on the monthly bill | D: Potential volume discounts, as usage in all accounts is combined | E: The automatic extension of the master account's AWS support plan to all accounts",Exact duplicate,,
DUPLICATE,q577,4,domain4.json,q627,4,domain4.json,98.6,100,95,YES,"A, C","A, C",The financial benefits of using AWS are: (Select TWO),The financial benefits of using AWS are: (Select TWO.),A: Reduced Total Cost of Ownership (TCO). | B: Increased capital expenditure (capex). | C: Reduced operational expenditure ( opex ). | D: Deferred payment plans for startups. | E: Business credit lines for startups.,A: reduced Total Cost of Ownership (TCO). | B: increased capital expenditure (capex). | C: reduced operational expenditure (opex). | D: deferred payment plans for startups. | E: business credit lines for stratups.,Exact duplicate,,
DUPLICATE,q666,1,domain1.json,q096,3,domain3.json,97.4,93,100,YES,C,C,"A company's web application currently has tight dependencies on underlying components, so when one component fails the entire web application fails. Applying which AWS Cloud design principle will address the current design issue?",A company’s web application currently has light dependencies on underlying components so when one component fails the entire web application fails. Applying which AWS Cloud design principle will address the current design issue?,"A: Implementing elasticity, enabling the application to scale up or scale down as demand changes. | B: Enabling several EC2 instances to run in parallel to achieve better performance. | C: Focusing on decoupling components by isolating them and ensuring individual components can function when other components fail. | D: Doubling EC2 computing resources to increase system fault tolerance.",A: Implementing elasticity enabling the application to scale up or scale down as demand changes. | B: Enabling several EC2 instances to run in parallel to achieve better performance. | C: Focusing on decoupling components by isolating them and ensuring individual components can function when other components fail. | D: Doubling EC2 computing resources to increase system fault tolerance.,Cross-domain: D1 vs D3,,
DUPLICATE,q139,4,domain4.json,q809,4,domain4.json,96.5,92,100,YES,A,A,A company is planning to migrate from on-premises to the AWS Cloud. When AWS tool or service provides detailed reports on estimated cost savings after migration?,A company is planning to migrate from on-premises to the AWS Cloud. Which AWS tool or service provides detailed reports on estimated cost savings after migration?,A: AWS Total Cost of Ownership (TCO) Calculator. | B: Cost Explorer. | C: AWS Budgets. | D: AWS Migration Hub.,A: AWS Total Cost of Ownership (TCO) Calculator | B: Cost Explorer | C: AWS Budgets | D: AWS Migration Hub,"Q1 typo: ""When""->""Which""",,
DUPLICATE,q739,3,domain3.json,q168,3,domain3.json,96.5,93,100,YES,"B, D","B, D",A company wants to migrate its applications to a VPC on AWS. These applications will need to access on-premises resources. What combination of actions will enable the company to accomplish this goal? (Choose two.),A company wants to migrate its applications to a VPC on AWS. These applications will need to access on-premises resources. What combination of actions will enable the company to accomplish this goal? (Select TWO),A: Use the AWS Service Catalog to identify a list of on-premises resources that can be migrated. | B: Build a VPN connection between an on-premises device and a virtual private gateway in the new VPC. | C: Use Amazon Athena to query data from the on-premises database servers. | D: Connect the company's on-premises data center to AWS using AWS Direct Connect. | E: Leverage Amazon CloudFront to restrict access to static web content provided through the company's on-premises web servers.,A: Use the AWS Service Catalog to identify a list of on-premises resources that can be migrated | B: Build a VPN connection between an on-premises device and a virtual private gateway in the new VPC | C: Use Amazon Athena to query data from the on-premises database servers | D: Connect the company’s on-premises data center to AWS using AWS Direct Connect | E: Leverage Amazon CloudFront to restrict access to static web content provided through the company’s on-premises web servers,,,
DUPLICATE,q072,4,domain4.json,q598,4,domain4.json,96.2,100,88,YES,"B, C, D","B, C, D",Which AWS tools assist with estimating costs? (Select three),Which AWS tools assist with estimating costs? (Select three.),A: Detailed billing report. | B: Cost allocation tags. | C: AWS Simple Monthly Calculator. | D: AWS Total Cost of Ownership (TCO) Calculator. | E: Cost Estimator.,A: Detailed billing report | B: Cost allocation tags | C: AWS Simple Monthly Calculator | D: AWS Total Cost of Ownership (TCO) Calculator | E: Cost Eliminator,,,
DUPLICATE,q112,3,domain3.json,q593,4,domain4.json,96.2,90,100,YES,C,C,What AWS team assists customers with accelerating cloud adoption through paid engagements in any of several specialty practice areas?,What AWS team assists customers with accelerating cloud adoption through paid engagements in any of several specialty practice area ?,A: AWS Enterprise Support. | B: AWS Solutions Architects. | C: AWS Professional Services. | D: AWS Account Managers.,A: AWS Enterprise Support | B: AWS Solutions Architects | C: AWS Professional Services | D: AWS Account Managers,Cross-domain: D3 vs D4,,
DUPLICATE,q177,3,domain3.json,q699,3,domain3.json,96.0,89,100,YES,D,D,Which AWS service would a customer use with a static website to achieve tower latency and high transfer speeds?,Which AWS service would a customer use with a static website to achieve lower latency and high transfer speeds?,A: AWS Lambda. | B: Amazon DynamoDB Accelerator. | C: Amazon Route 53. | D: Amazon CloudFront.,A: AWS Lambda | B: Amazon DynamoDB Accelerator | C: Amazon Route 53 | D: Amazon CloudFront,"Q1 typo: ""tower""->""lower""",,
DUPLICATE,q125,4,domain4.json,q595,4,domain4.json,95.6,88,100,YES,C,C,Which of the following Amazon EC2 pricing models allow customers to use existing server-bound software licenses?,Which of the following Amazon EC2 pricing models allow customers to use existing server-bound software license ?,A: Spot Instances. | B: Reserved Instances. | C: Dedicated Hosts. | D: On-Demand Instances.,A: Spot Instances | B: Reserved Instances | C: Dedicated Hosts | D: On-Demand Instances,,,
DUPLICATE,q841,2,domain2.json,q573,3,domain3.json,95.4,91,100,YES,"A, E","A, E",Which AWS service or feature can enhance network security by blocking requests from a particular network for a web application on AWS? (Choose two.),Which AWS service or feature can enhance network security by blocking requests from a particular network for a web application on AWS? (Select TWO),A: AWS WAF | B: AWS Trusted Advisor | C: AWS Direct Connect | D: AWS Organizations | E: Network ACLs,A: AWS WAF. | B: AWS Trusted Advisor. | C: AWS Direct Connect. | D: AWS Organizations. | E: Network ACLs.,Cross-domain: D2 vs D3,,
DUPLICATE,q728,1,domain1.json,q579,3,domain3.json,94.7,90,100,YES,"A, C","A, C",What are the benefits of using the AWS Cloud for companies with customers in many countries around the world? (Choose two.),What are the benefits of using the AWS Cloud for companies with customers in many countries around the world (Select TWO),"A: Companies can deploy applications in multiple AWS Regions to reduce latency. | B: Amazon Translate automatically translates third-party website interfaces into multiple languages. | C: Amazon CloudFront has multiple edge locations around the world to reduce latency. | D: Amazon Comprehend allows users to build applications that can respond to user requests in many languages. | E: Elastic Load Balancing can distribute application web traffic to multiple AWS Regions around the world, which reduces latency.",A: Companies can deploy applications in multiple AWS Regions to reduce latency. | B: Amazon Translate automatically translates third-party website interfaces into multiple languages. | C: Amazon CloudFront has multiple edge locations around the world to reduce latency. | D: Amazon Comprehend allows users to build applications that can respond to user requests in many languages. | E: Elastic Load Balancing can distribute application web traffic to multiple AWS Regions around the world which reduces latency.,Cross-domain: D1 vs D3,,
DUPLICATE,q161,1,domain1.json,q745,1,domain1.json,94.7,90,100,YES,"C, D","C, D",What are the benefits of developing and running a new application in the AWS Cloud compared to on-premises? (Select TWO),What are the benefits of developing and running a new application in the AWS Cloud compared to on-premises? (Choose two.),A: AWS automatically distributes the data globally for higher durability. | B: AWS will take care of operating the application. | C: AWS makes it easy to architect for high availability. | D: AWS can easily accommodate application demand changes. | E: AWS takes care of application security patching.,A: AWS automatically distributes the data globally for higher durability. | B: AWS will take care of operating the application. | C: AWS makes it easy to architect for high availability. | D: AWS can easily accommodate application demand changes. | E: AWS takes care application security patching.,,,
DUPLICATE,q668,4,domain4.json,q724,4,domain4.json,94.2,93,100,YES,D,D,What AWS service would be used to centrally manage AWS access across multiple accounts?,What AWS service would be used to centrally manage AWS access policies across multiple accounts?,A: AWS Service Catalog | B: AWS Config | C: AWS Trusted Advisor | D: AWS Organizations,A: AWS Service Catalog | B: AWS Config | C: AWS Trusted Advisor | D: AWS Organizations,,,
